date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,label
4/13/2018,10,0,0,11.6,2,0,6:17 AM,5:59 PM,7:05 AM,8:26 PM,-3,2,5,2,18,27,57,0,1028,10,10,276,12,83706,0
4/14/2018,14,5,0,7.9,2,0,6:46 AM,7:05 PM,7:04 AM,8:27 PM,0,9,9,9,10,67,55,0,1024,14,10,149,6,83706,0
4/15/2018,18,7,0,10.4,3,0,7:16 AM,8:13 PM,7:02 AM,8:28 PM,2,12,13,12,20,65,49,0.6,1009,18,9,125,13,83706,1
4/16/2018,11,5,0,11.6,3,1,7:46 AM,9:23 PM,7:00 AM,8:29 PM,-1,5,7,5,18,53,58,2.3,1006,11,9,305,13,83706,1
4/17/2018,9,0,0,11.6,2,9,8:20 AM,10:33 PM,6:59 AM,8:31 PM,-6,1,4,1,21,23,49,0.1,1020,9,10,271,15,83706,1
4/18/2018,14,2,0,9.2,3,17,8:58 AM,11:44 PM,6:57 AM,8:32 PM,-5,6,8,6,22,48,39,0,1020,14,10,104,14,83706,0
4/19/2018,17,5,0,10.4,3,24,9:43 AM,No moonset,6:55 AM,8:33 PM,0,9,10,9,22,51,49,0,1014,17,10,247,14,83706,0
4/20/2018,17,5,0,11.6,4,32,10:34 AM,12:51 AM,6:54 AM,8:34 PM,1,9,11,9,29,1,50,0,1019,17,10,316,19,83706,0
4/21/2018,18,8,0,11.6,4,39,11:33 AM,1:54 AM,6:52 AM,8:35 PM,1,13,13,13,15,8,45,0,1019,18,10,137,10,83706,0
4/22/2018,16,5,0,11.6,4,47,12:37 PM,2:49 AM,6:50 AM,8:36 PM,0,9,11,9,20,7,48,0,1018,16,10,313,14,83706,0
4/23/2018,15,3,0,11.6,3,54,1:45 PM,3:38 AM,6:49 AM,8:38 PM,-2,7,9,7,25,3,49,0,1022,15,10,306,17,83706,0
